Country,HDI.Rank,HDI,CPI,Region
Laos,138,524,"2,2",Asia Pacific
Latvia,43,805,"4,2",EU W. Europe
Lebanon,71,739,"2,5",MENA
Lesotho,160,0.45,"3,5",SSA
Liberia,182,329,"3,2",SSA
Libya,64,0.76,2,MENA
Lithuania,40,0.81,"4,8",EU W. Europe
Luxembourg,25,867,"8,5",EU W. Europe
Madagascar,151,0.48,3,SSA
Malawi,171,0.4,3,SSA
Malaysia,61,761,"4,3",Asia Pacific
Maldives,109,661,"2,5",Asia Pacific
Mali,175,359,"2,8",SSA
Malta,36,832,"5,6",EU W. Europe
Mauritania,159,453,"2,4",SSA
Mauritius,77,728,"5,1",SSA
Mexico,57,0.77,3,Americas
Moldova,111,649,"2,9",East EU Cemt Asia
Mongolia,110,653,"2,7",Asia Pacific
Montenegro,54,771,4,East EU Cemt Asia
Morocco,130,582,"3,4",MENA
Mozambique,184,322,"2,7",SSA
Myanmar,149,483,"1,5",Asia Pacific
Namibia,120,625,"4,4",SSA
Nepal,157,458,"2,2",Asia Pacific
Netherlands,3,0.91,"8,9",EU W. Europe
New Zealand,5,908,"9,5",Asia Pacific
Nicaragua,129,589,"2,5",Americas
Niger,186,295,"2,5",SSA
Nigeria,156,459,"2,4",SSA
Norway,1,943,9,EU W. Europe
Oman,89,705,"4,8",MENA
Pakistan,145,504,"2,5",Asia Pacific
Panama,58,768,"3,3",Americas
Papua New Guinea,153,466,"2,2",Asia Pacific
Paraguay,107,665,"2,2",Americas
Peru,80,725,"3,4",Americas
Philippines,112,644,"2,6",Asia Pacific
Poland,39,813,"5,5",EU W. Europe
Portugal,41,809,"6,1",EU W. Europe
Qatar,37,831,"7,2",MENA
Romania,50,781,"3,6",EU W. Europe
Russia,66,755,"2,4",East EU Cemt Asia
Rwanda,166,429,5,SSA
Saint Lucia,82,723,7,Americas
Saint Vincent and the Grenadines,85,717,"5,8",Americas
Samoa,99,688,"3,9",Asia Pacific
Saudi Arabia,56,0.77,"4,4",MENA
Senegal,155,459,"2,9",SSA
Serbia,59,766,"3,3",East EU Cemt Asia
Seychelles,52,773,"4,8",SSA
Sierra Leone,180,336,"2,5",SSA
Singapore,26,866,"9,2",Asia Pacific
Slovakia,35,834,4,EU W. Europe
Slovenia,21,884,"5,9",EU W. Europe
Solomon Islands,142,0.51,"2,7",Asia Pacific
South Africa,123,619,"4,1",SSA
Spain,23,878,"6,2",EU W. Europe
Sri Lanka,97,691,"3,3",Asia Pacific
Sudan,169,408,"1,6",SSA
Suriname,104,0.68,3,Americas
Swaziland,140,522,"3,1",SSA
Sweden,10,904,"9,3",EU W. Europe
Switzerland,11,903,"8,8",EU W. Europe
Syria,119,632,"2,6",MENA
Tajikistan,127,607,"2,3",East EU Cemt Asia
Tanzania,152,466,3,SSA
Thailand,103,682,"3,4",Asia Pacific
Timor-Leste,147,495,"2,4",Asia Pacific
Togo,162,435,"2,4",SSA
Tonga,90,704,"3,1",Asia Pacific
Trinidad and Tobago,62,0.76,"3,2",Americas
Tunisia,94,698,"3,8",MENA
Turkey,92,699,"4,2",East EU Cemt Asia
Turkmenistan,102,686,"1,6",East EU Cemt Asia
Uganda,161,446,"2,4",SSA
Ukraine,76,729,"2,3",East EU Cemt Asia
United Arab Emirates,30,846,"6,8",MENA
United States,4,0.91,"7,1",Americas
Uruguay,48,783,7,Americas
Uzbekistan,115,641,"1,6",East EU Cemt Asia
Vanuatu,125,617,"3,5",Asia Pacific
Venezuela,73,735,"1,9",Americas
Yemen,154,462,"2,1",MENA
Zambia,164,0.43,"3,2",SSA
Zimbabwe,173,376,"2,2",SSA
